scenario,bucket,units,net_usd,avg_unit
A_base_all_1_1_3,tp1,582,35384.52,60.80
A_base_all_1_1_3,tp2,572,35067.32,61.31
A_base_all_1_1_3,runner,1707,101155.44,59.26
A_base_all_1_1_3,full_exit,3960,-176508.70,-44.57
B_hard_filter_not_aligned_1_1_3,tp1,514,31221.10,60.74
B_hard_filter_not_aligned_1_1_3,tp2,505,31307.04,61.99
B_hard_filter_not_aligned_1_1_3,runner,1506,90101.58,59.83
B_hard_filter_not_aligned_1_1_3,full_exit,3525,-161597.30,-45.84
C_weight_not_aligned_2_1_3,tp1,1096,66605.62,60.77
C_weight_not_aligned_2_1_3,tp2,572,35067.32,61.31
C_weight_not_aligned_2_1_3,runner,1707,101155.44,59.26
C_weight_not_aligned_2_1_3,full_exit,4665,-208828.16,-44.76
D_weight_not_aligned_2_2_3,tp1,1096,66605.62,60.77
D_weight_not_aligned_2_2_3,tp2,1077,66374.36,61.63
D_weight_not_aligned_2_2_3,runner,1707,101155.44,59.26
D_weight_not_aligned_2_2_3,full_exit,5370,-241147.62,-44.91
E_weight_not_aligned_3_2_3,tp1,1610,97826.72,60.76
E_weight_not_aligned_3_2_3,tp2,1077,66374.36,61.63
E_weight_not_aligned_3_2_3,runner,1707,101155.44,59.26
E_weight_not_aligned_3_2_3,full_exit,6075,-273467.08,-45.02
F_derisk_aligned_1_1_1_not_2_1_3,tp1,1096,66605.62,60.77
F_derisk_aligned_1_1_1_not_2_1_3,tp2,572,35067.32,61.31
F_derisk_aligned_1_1_1_not_2_1_3,runner,1573,93786.20,59.62
F_derisk_aligned_1_1_1_not_2_1_3,full_exit,4491,-202863.60,-45.17
G_skip_aligned_not_2_2_3,tp1,1028,62442.20,60.74
G_skip_aligned_not_2_2_3,tp2,1010,62614.08,61.99
G_skip_aligned_not_2_2_3,runner,1506,90101.58,59.83
G_skip_aligned_not_2_2_3,full_exit,4935,-226236.22,-45.84
