scenario,bucket,units,net_usd,avg_unit
A_base_all_1_1_3,tp1,320,19147.50,59.84
A_base_all_1_1_3,tp2,318,18576.75,58.42
A_base_all_1_1_3,runner,951,59488.50,62.55
A_base_all_1_1_3,full_exit,1705,-101138.75,-59.32
B_hard_filter_not_aligned_1_1_3,tp1,292,17235.75,59.03
B_hard_filter_not_aligned_1_1_3,tp2,291,17393.50,59.77
B_hard_filter_not_aligned_1_1_3,runner,870,56501.25,64.94
B_hard_filter_not_aligned_1_1_3,full_exit,1590,-93885.00,-59.05
C_weight_not_aligned_2_1_3,tp1,612,36383.25,59.45
C_weight_not_aligned_2_1_3,tp2,318,18576.75,58.42
C_weight_not_aligned_2_1_3,runner,951,59488.50,62.55
C_weight_not_aligned_2_1_3,full_exit,2023,-119915.75,-59.28
D_weight_not_aligned_2_2_3,tp1,612,36383.25,59.45
D_weight_not_aligned_2_2_3,tp2,609,35970.25,59.06
D_weight_not_aligned_2_2_3,runner,951,59488.50,62.55
D_weight_not_aligned_2_2_3,full_exit,2341,-138692.75,-59.25
E_weight_not_aligned_3_2_3,tp1,904,53619.00,59.31
E_weight_not_aligned_3_2_3,tp2,609,35970.25,59.06
E_weight_not_aligned_3_2_3,runner,951,59488.50,62.55
E_weight_not_aligned_3_2_3,full_exit,2659,-157469.75,-59.22
F_derisk_aligned_1_1_1_not_2_1_3,tp1,612,36383.25,59.45
F_derisk_aligned_1_1_1_not_2_1_3,tp2,318,18576.75,58.42
F_derisk_aligned_1_1_1_not_2_1_3,runner,897,57497.00,64.10
F_derisk_aligned_1_1_1_not_2_1_3,full_exit,1977,-117014.25,-59.19
G_skip_aligned_not_2_2_3,tp1,584,34471.50,59.03
G_skip_aligned_not_2_2_3,tp2,582,34787.00,59.77
G_skip_aligned_not_2_2_3,runner,870,56501.25,64.94
G_skip_aligned_not_2_2_3,full_exit,2226,-131439.00,-59.05
