scenario,bucket,units,net_usd,avg_unit
A_base_all_1_1_3,tp1,600,375811.25,626.35
A_base_all_1_1_3,tp2,590,374153.75,634.16
A_base_all_1_1_3,runner,1761,1093247.25,620.81
A_base_all_1_1_3,full_exit,4015,-1804116.25,-449.34
B_hard_filter_not_aligned_1_1_3,tp1,566,356297.25,629.50
B_hard_filter_not_aligned_1_1_3,tp2,556,354766.00,638.07
B_hard_filter_not_aligned_1_1_3,runner,1659,1052101.50,634.18
B_hard_filter_not_aligned_1_1_3,full_exit,3765,-1733085.00,-460.31
C_weight_not_aligned_2_1_3,tp1,1166,732108.50,627.88
C_weight_not_aligned_2_1_3,tp2,590,374153.75,634.16
C_weight_not_aligned_2_1_3,runner,1761,1093247.25,620.81
C_weight_not_aligned_2_1_3,full_exit,4768,-2150733.25,-451.08
D_weight_not_aligned_2_2_3,tp1,1166,732108.50,627.88
D_weight_not_aligned_2_2_3,tp2,1146,728919.75,636.06
D_weight_not_aligned_2_2_3,runner,1761,1093247.25,620.81
D_weight_not_aligned_2_2_3,full_exit,5521,-2497350.25,-452.34
E_weight_not_aligned_3_2_3,tp1,1732,1088405.75,628.41
E_weight_not_aligned_3_2_3,tp2,1146,728919.75,636.06
E_weight_not_aligned_3_2_3,runner,1761,1093247.25,620.81
E_weight_not_aligned_3_2_3,full_exit,6274,-2843967.25,-453.29
F_derisk_aligned_1_1_1_not_2_1_3,tp1,1166,732108.50,627.88
F_derisk_aligned_1_1_1_not_2_1_3,tp2,590,374153.75,634.16
F_derisk_aligned_1_1_1_not_2_1_3,runner,1693,1065816.75,629.54
F_derisk_aligned_1_1_1_not_2_1_3,full_exit,4668,-2122320.75,-454.65
G_skip_aligned_not_2_2_3,tp1,1132,712594.50,629.50
G_skip_aligned_not_2_2_3,tp2,1112,709532.00,638.07
G_skip_aligned_not_2_2_3,runner,1659,1052101.50,634.18
G_skip_aligned_not_2_2_3,full_exit,5271,-2426319.00,-460.31
