scenario,bucket,units,net_usd,avg_unit
A_base_all_1_1_3,tp1,726,474048.50,652.96
A_base_all_1_1_3,tp2,722,464779.50,643.74
A_base_all_1_1_3,runner,2139,1401879.00,655.39
A_base_all_1_1_3,full_exit,3965,-2395072.50,-604.05
B_hard_filter_not_aligned_1_1_3,tp1,709,462399.00,652.18
B_hard_filter_not_aligned_1_1_3,tp2,705,457830.00,649.40
B_hard_filter_not_aligned_1_1_3,runner,2088,1380768.00,661.29
B_hard_filter_not_aligned_1_1_3,full_exit,3890,-2359210.00,-606.48
C_weight_not_aligned_2_1_3,tp1,1435,936447.50,652.58
C_weight_not_aligned_2_1_3,tp2,722,464779.50,643.74
C_weight_not_aligned_2_1_3,runner,2139,1401879.00,655.39
C_weight_not_aligned_2_1_3,full_exit,4743,-2866914.50,-604.45
D_weight_not_aligned_2_2_3,tp1,1435,936447.50,652.58
D_weight_not_aligned_2_2_3,tp2,1427,922609.50,646.54
D_weight_not_aligned_2_2_3,runner,2139,1401879.00,655.39
D_weight_not_aligned_2_2_3,full_exit,5521,-3338756.50,-604.74
E_weight_not_aligned_3_2_3,tp1,2144,1398846.50,652.45
E_weight_not_aligned_3_2_3,tp2,1427,922609.50,646.54
E_weight_not_aligned_3_2_3,runner,2139,1401879.00,655.39
E_weight_not_aligned_3_2_3,full_exit,6299,-3810598.50,-604.95
F_derisk_aligned_1_1_1_not_2_1_3,tp1,1435,936447.50,652.58
F_derisk_aligned_1_1_1_not_2_1_3,tp2,722,464779.50,643.74
F_derisk_aligned_1_1_1_not_2_1_3,runner,2105,1387805.00,659.29
F_derisk_aligned_1_1_1_not_2_1_3,full_exit,4713,-2852569.50,-605.26
G_skip_aligned_not_2_2_3,tp1,1418,924798.00,652.18
G_skip_aligned_not_2_2_3,tp2,1410,915660.00,649.40
G_skip_aligned_not_2_2_3,runner,2088,1380768.00,661.29
G_skip_aligned_not_2_2_3,full_exit,5446,-3302894.00,-606.48
