scenario,bucket,units,net_usd,avg_unit
A_base_all_1_1_3,tp1,656,984526.00,1500.80
A_base_all_1_1_3,tp2,653,1005420.50,1539.69
A_base_all_1_1_3,runner,1941,3088273.50,1591.07
A_base_all_1_1_3,full_exit,3650,-4212425.00,-1154.09
B_hard_filter_not_aligned_1_1_3,tp1,591,892333.50,1509.87
B_hard_filter_not_aligned_1_1_3,tp2,588,905068.00,1539.23
B_hard_filter_not_aligned_1_1_3,runner,1746,2764971.00,1583.60
B_hard_filter_not_aligned_1_1_3,full_exit,3325,-3738962.50,-1124.50
C_weight_not_aligned_2_1_3,tp1,1247,1876859.50,1505.10
C_weight_not_aligned_2_1_3,tp2,653,1005420.50,1539.69
C_weight_not_aligned_2_1_3,runner,1941,3088273.50,1591.07
C_weight_not_aligned_2_1_3,full_exit,4315,-4960217.50,-1149.53
D_weight_not_aligned_2_2_3,tp1,1247,1876859.50,1505.10
D_weight_not_aligned_2_2_3,tp2,1241,1910488.50,1539.48
D_weight_not_aligned_2_2_3,runner,1941,3088273.50,1591.07
D_weight_not_aligned_2_2_3,full_exit,4980,-5708010.00,-1146.19
E_weight_not_aligned_3_2_3,tp1,1838,2769193.00,1506.63
E_weight_not_aligned_3_2_3,tp2,1241,1910488.50,1539.48
E_weight_not_aligned_3_2_3,runner,1941,3088273.50,1591.07
E_weight_not_aligned_3_2_3,full_exit,5645,-6455802.50,-1143.63
F_derisk_aligned_1_1_1_not_2_1_3,tp1,1247,1876859.50,1505.10
F_derisk_aligned_1_1_1_not_2_1_3,tp2,653,1005420.50,1539.69
F_derisk_aligned_1_1_1_not_2_1_3,runner,1811,2872738.50,1586.27
F_derisk_aligned_1_1_1_not_2_1_3,full_exit,4185,-4770832.50,-1139.98
G_skip_aligned_not_2_2_3,tp1,1182,1784667.00,1509.87
G_skip_aligned_not_2_2_3,tp2,1176,1810136.00,1539.23
G_skip_aligned_not_2_2_3,runner,1746,2764971.00,1583.60
G_skip_aligned_not_2_2_3,full_exit,4655,-5234547.50,-1124.50
