condition,n_sessions,total_net,mean_net,median_net,win_rate,profit_factor,edge_vs_all,stability_frac,stability_years,knowable
or_width_q=q4|gap_bucket=gap_up_lg,32,-78287.5,-2446.48,1336.25,0.531,0.676,-3296.8,1.0,1,0945
or_width_q=q4|gap_bucket=gap_dn_sm,44,-105592.5,-2399.83,396.25,0.523,0.685,-3250.15,1.0,2,0945
break_tod_bucket=1030_1200,13,-19970.0,-1536.15,1542.5,0.615,0.673,-2386.47,,0,entry
or_width_q=q1|gap_bucket=flat,48,-66702.5,-1389.64,-2297.5,0.438,0.596,-2239.95,1.0,3,0945
or_width_q=q2|gap_bucket=gap_dn_sm,36,-46525.0,-1292.36,-292.5,0.5,0.641,-2142.68,0.5,2,0945
or_width_q=q4|gap_bucket=flat,38,-44817.5,-1179.41,1065.0,0.526,0.822,-2029.72,1.0,2,0945
gap_bucket=gap_dn_sm,148,-66035.0,-446.18,991.25,0.541,0.9,-1296.5,0.667,3,0945
or_width_q=q3|gap_bucket=flat,31,-10095.0,-325.65,-4990.0,0.484,0.937,-1175.96,1.0,1,0945
gap_bucket=flat,153,-34482.5,-225.38,442.5,0.516,0.948,-1075.69,1.0,4,0945
or_width_q=q1|gap_bucket=gap_dn_sm,40,-7135.0,-178.38,-31.25,0.5,0.94,-1028.69,0.5,2,0945
or_width_q=q2|gap_bucket=gap_dn_lg,13,-1947.5,-149.81,1077.5,0.692,0.951,-1000.12,,0,0945
or_loc_bucket=lower_third,118,10925.0,92.58,1050.0,0.542,1.02,-757.73,0.75,4,0945
or_width_q=q2|gap_bucket=gap_up_sm,42,9940.0,236.67,1277.5,0.619,1.063,-613.65,0.667,3,0945
or_width_q=q1,199,88790.0,446.18,637.5,0.533,1.171,-404.14,1.0,3,0945
or_loc_bucket=upper_third,186,84042.5,451.84,722.5,0.522,1.106,-398.48,0.75,4,0945
or_width_q=q4,216,98870.0,457.73,2192.5,0.583,1.077,-392.59,0.6,5,0945
or_loc_bucket=mid_third,164,81610.0,497.62,1070.0,0.567,1.143,-352.69,0.5,4,0945
or_width_q=q2,156,113350.0,726.6,1137.5,0.622,1.241,-123.71,0.5,4,0945
or_width_q=q1|gap_bucket=gap_dn_lg,26,21457.5,825.29,897.5,0.654,1.451,-25.03,0.0,1,0945
first_break_side=down,342,286872.5,838.81,1220.0,0.576,1.22,-11.51,0.6,5,entry
gap_bucket=gap_up_lg,123,103662.5,842.78,1917.5,0.618,1.221,-7.53,0.5,4,0945
first_break_side=up,400,344062.5,860.16,1481.25,0.588,1.219,9.84,0.6,5,entry
break_tod_bucket=0945_1030,727,648520.0,892.05,1292.5,0.582,1.231,41.73,0.6,5,entry
break_tod_bucket=1200_eod,2,2385.0,1192.5,1192.5,0.5,2.418,342.18,,0,entry
or_loc_bucket=below_prior,105,139940.0,1332.76,1717.5,0.638,1.329,482.45,0.333,3,0945
or_width_q=q1|gap_bucket=gap_up_lg,27,36232.5,1341.94,1485.0,0.556,1.454,491.63,0.0,1,0945
or_width_q=q3|gap_bucket=gap_dn_lg,24,35417.5,1475.73,2058.75,0.583,1.316,625.41,,0,0945
or_width_q=q4|gap_bucket=gap_up_sm,68,103092.5,1516.07,3080.0,0.618,1.306,665.75,0.667,3,0945
gap_bucket=gap_up_sm,221,348387.5,1576.41,2112.5,0.602,1.453,726.1,0.75,4,0945
or_width_q=q1|gap_bucket=gap_up_sm,58,104937.5,1809.27,825.0,0.569,1.982,958.95,0.667,3,0945
or_loc_bucket=above_prior,169,314417.5,1860.46,2415.0,0.657,1.577,1010.14,1.0,4,0945
or_width_q=q3,171,329925.0,1929.39,1667.5,0.602,1.542,1079.07,0.75,4,0945
or_width_q=q2|gap_bucket=gap_up_lg,29,64750.0,2232.76,2295.0,0.724,2.139,1382.44,1.0,1,0945
or_width_q=q3|gap_bucket=gap_up_lg,35,80967.5,2313.36,3567.5,0.657,1.894,1463.04,0.5,2,0945
or_width_q=q2|gap_bucket=flat,36,87132.5,2420.35,1725.0,0.639,1.989,1570.03,0.667,3,0945
or_width_q=q3|gap_bucket=gap_up_sm,53,130417.5,2460.71,2112.5,0.604,1.777,1610.39,0.5,2,0945
gap_bucket=gap_dn_lg,97,279402.5,2880.44,2142.5,0.66,1.902,2030.12,0.75,4,0945
or_width_q=q3|gap_bucket=gap_dn_sm,28,93217.5,3329.2,4180.0,0.679,2.19,2478.88,1.0,1,0945
or_width_q=q4|gap_bucket=gap_dn_lg,34,224475.0,6602.21,8276.25,0.706,3.028,5751.89,1.0,2,0945
