condition,n_sessions,total_net,mean_net,median_net,win_rate,profit_factor,edge_vs_all,stability_frac,stability_years,knowable
or_width_q=q4|gap_bucket=gap_up_lg,30,-11764.5,-392.15,102.5,0.533,0.518,-463.32,1.0,1,0945
or_width_q=q4|gap_bucket=gap_dn_sm,44,-8813.0,-200.3,76.75,0.545,0.721,-271.46,1.0,2,0945
or_width_q=q2|gap_bucket=gap_dn_sm,35,-5941.5,-169.76,-220.0,0.486,0.577,-240.92,1.0,2,0945
break_tod_bucket=1030_1200,13,-2007.0,-154.38,147.5,0.615,0.675,-225.55,,0,entry
or_width_q=q1|gap_bucket=flat,45,-6337.5,-140.83,-277.5,0.422,0.607,-212.0,1.0,2,0945
or_width_q=q4|gap_bucket=flat,34,-4478.5,-131.72,102.75,0.529,0.811,-202.89,1.0,1,0945
gap_bucket=gap_dn_sm,149,-7714.0,-51.77,89.5,0.55,0.886,-122.94,0.667,3,0945
or_width_q=q2|gap_bucket=gap_dn_lg,12,-407.0,-33.92,99.75,0.667,0.897,-105.08,,0,0945
gap_bucket=flat,152,-4214.5,-27.73,28.5,0.513,0.937,-98.89,1.0,4,0945
or_width_q=q1|gap_bucket=gap_dn_sm,35,-900.5,-25.73,49.5,0.514,0.921,-96.9,0.5,2,0945
or_width_q=q4,206,-1576.5,-7.65,196.5,0.573,0.988,-78.82,0.8,5,0945
or_width_q=q1,187,2884.5,15.43,48.5,0.524,1.055,-55.74,1.0,3,0945
or_width_q=q1|gap_bucket=gap_dn_lg,24,490.5,20.44,78.5,0.625,1.101,-50.73,0.0,1,0945
or_loc_bucket=lower_third,119,2901.0,24.38,103.0,0.555,1.055,-46.79,0.75,4,0945
or_loc_bucket=mid_third,163,5501.5,33.75,98.5,0.564,1.094,-37.42,0.5,4,0945
or_width_q=q3|gap_bucket=flat,28,1080.5,38.59,72.25,0.536,1.078,-32.58,,0,0945
or_loc_bucket=upper_third,187,7461.0,39.9,82.0,0.524,1.094,-31.27,0.75,4,0945
gap_bucket=gap_up_lg,123,7743.0,62.95,182.0,0.618,1.162,-8.22,0.5,4,0945
first_break_side=up,398,27780.5,69.8,137.0,0.585,1.174,-1.37,0.4,5,entry
first_break_side=down,343,24954.5,72.75,114.5,0.577,1.187,1.59,0.6,5,entry
break_tod_bucket=0945_1030,726,54522.0,75.1,120.5,0.581,1.19,3.93,0.6,5,entry
or_width_q=q1|gap_bucket=gap_up_sm,56,5172.5,92.37,33.0,0.536,1.408,21.2,0.0,2,0945
or_loc_bucket=below_prior,103,9633.5,93.53,141.5,0.631,1.213,22.36,0.333,3,0945
or_width_q=q2,143,15215.5,106.4,112.0,0.629,1.38,35.23,0.667,3,0945
break_tod_bucket=1200_eod,2,220.0,110.0,110.0,0.5,2.257,38.83,,0,entry
or_width_q=q4|gap_bucket=gap_up_sm,66,7563.5,114.6,293.75,0.606,1.222,43.43,0.667,3,0945
gap_bucket=gap_up_sm,221,32162.5,145.53,202.5,0.602,1.415,74.36,0.75,4,0945
or_width_q=q2|gap_bucket=gap_up_lg,25,3930.5,157.22,168.5,0.68,1.671,86.05,1.0,1,0945
or_width_q=q1|gap_bucket=gap_up_lg,27,4459.5,165.17,211.5,0.593,1.606,94.0,0.0,1,0945
or_loc_bucket=above_prior,168,28189.5,167.79,220.0,0.655,1.509,96.63,0.75,4,0945
or_width_q=q2|gap_bucket=gap_up_sm,38,7951.5,209.25,252.0,0.711,1.868,138.08,1.0,2,0945
or_width_q=q3,155,35135.5,226.68,182.0,0.619,1.66,155.51,0.75,4,0945
or_width_q=q3|gap_bucket=gap_up_sm,51,11585.5,227.17,204.5,0.588,1.676,156.0,0.5,2,0945
or_width_q=q3|gap_bucket=gap_up_lg,30,8068.5,268.95,273.75,0.667,1.944,197.78,1.0,1,0945
gap_bucket=gap_dn_lg,95,25709.5,270.63,189.5,0.653,1.817,199.46,0.75,4,0945
or_width_q=q2|gap_bucket=flat,33,9682.0,293.39,147.5,0.636,2.383,222.23,1.0,2,0945
or_width_q=q3|gap_bucket=gap_dn_lg,19,5837.5,307.24,236.0,0.632,1.881,236.07,,0,0945
or_width_q=q3|gap_bucket=gap_dn_sm,27,8563.5,317.17,142.0,0.704,2.206,246.0,1.0,2,0945
or_width_q=q4|gap_bucket=gap_dn_lg,32,15916.0,497.38,461.0,0.625,2.111,426.21,1.0,1,0945
