year,start_capital_usd,bump_level,max_contracts,required_capital_usd,capital_headroom_usd,year_net_usd,year_mtm_dd_usd,year_max_open_units,end_capital_usd
2010,100008.75,0,10,100008.75,0.0,0.0,0.0,0,100008.75
2011,100008.75,0,10,100008.75,0.0,0.0,0.0,0,100008.75
2012,100008.75,0,10,100008.75,0.0,-428.75,-6216.25,10,99580.0
2013,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2014,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2015,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2016,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2017,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2018,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2019,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2020,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2021,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2022,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2023,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2024,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2025,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
2026,99580.0,NO_TRADE,0,,,0.0,0.0,0,99580.0
