condition,n_sessions,total_net,mean_net,median_net,win_rate,profit_factor,edge_vs_all,stability_frac,stability_years,knowable
or_width_q=q4|gap_bucket=gap_dn_sm,41,-98085.0,-2392.32,192.5,0.512,0.692,-3149.5,1.0,2,0945
or_width_q=q1|gap_bucket=flat,46,-67845.0,-1474.89,-2297.5,0.435,0.579,-2232.08,1.0,3,0945
or_width_q=q3|gap_bucket=flat,27,-29747.5,-1101.76,-5120.0,0.444,0.788,-1858.95,1.0,1,0945
or_width_q=q2|gap_bucket=gap_dn_sm,34,-37332.5,-1098.01,-292.5,0.5,0.678,-1855.2,0.5,2,0945
or_width_q=q4|gap_bucket=gap_up_lg,26,-15587.5,-599.52,1506.25,0.577,0.904,-1356.71,1.0,1,0945
or_width_q=q4|gap_bucket=flat,31,-15685.0,-505.97,1687.5,0.548,0.913,-1263.16,1.0,2,0945
gap_bucket=gap_dn_sm,142,-51180.0,-360.42,948.75,0.535,0.919,-1117.61,0.667,3,0945
or_width_q=q3|gap_bucket=gap_dn_lg,20,-5260.0,-263.0,1898.75,0.55,0.953,-1020.19,,0,0945
or_width_q=q1|gap_bucket=gap_dn_sm,39,-8980.0,-230.26,-620.0,0.487,0.925,-987.44,0.5,2,0945
gap_bucket=flat,139,-29355.0,-211.19,200.0,0.511,0.948,-968.37,1.0,3,0945
break_tod_bucket=1030_1200,12,-1755.0,-146.25,2517.5,0.667,0.959,-903.44,,0,entry
or_loc_bucket=mid_third,152,25132.5,165.35,987.5,0.546,1.047,-591.84,0.667,3,0945
or_width_q=q2|gap_bucket=gap_up_sm,40,11257.5,281.44,1277.5,0.625,1.075,-475.75,0.667,3,0945
or_loc_bucket=lower_third,105,39260.0,373.9,1082.5,0.562,1.09,-383.28,0.667,3,0945
or_width_q=q4|gap_bucket=gap_up_sm,58,22445.0,386.98,2758.75,0.586,1.079,-370.2,0.5,2,0945
or_width_q=q1,193,79267.5,410.71,547.5,0.523,1.154,-346.48,1.0,3,0945
first_break_side=down,313,155000.0,495.21,1147.5,0.562,1.132,-261.98,0.5,4,entry
or_loc_bucket=upper_third,175,90965.0,519.8,487.5,0.514,1.128,-237.39,0.667,3,0945
or_width_q=q4,185,113770.0,614.97,2142.5,0.584,1.112,-142.21,0.5,4,0945
break_tod_bucket=0945_1030,666,514257.5,772.16,1217.5,0.572,1.205,14.97,0.75,4,entry
or_width_q=q1|gap_bucket=gap_dn_lg,25,20515.0,820.6,852.5,0.64,1.431,63.41,1.0,1,0945
or_width_q=q2,146,126215.0,864.49,1110.0,0.623,1.295,107.3,0.667,3,0945
gap_bucket=gap_up_sm,202,196677.5,973.65,1383.75,0.579,1.277,216.46,0.667,3,0945
first_break_side=up,367,359887.5,980.62,1457.5,0.583,1.263,223.43,0.75,4,entry
or_loc_bucket=below_prior,96,98937.5,1030.6,1605.0,0.625,1.256,273.41,0.333,3,0945
break_tod_bucket=1200_eod,2,2385.0,1192.5,1192.5,0.5,2.418,435.31,,0,entry
or_width_q=q2|gap_bucket=gap_dn_lg,12,14417.5,1201.46,1095.0,0.75,1.626,444.27,,0,0945
or_width_q=q3,156,195635.0,1254.07,1457.5,0.577,1.332,496.88,1.0,3,0945
or_width_q=q3|gap_bucket=gap_up_sm,48,63630.0,1325.62,1417.5,0.562,1.379,568.44,1.0,2,0945
gap_bucket=gap_up_lg,111,148390.0,1336.85,1917.5,0.622,1.387,579.66,0.667,3,0945
or_width_q=q1|gap_bucket=gap_up_lg,27,36232.5,1341.94,1485.0,0.556,1.454,584.76,1.0,1,0945
or_loc_bucket=above_prior,152,260592.5,1714.42,2270.0,0.645,1.538,957.24,1.0,3,0945
or_width_q=q1|gap_bucket=gap_up_sm,56,99345.0,1774.02,580.0,0.554,1.93,1016.83,0.667,3,0945
or_width_q=q2|gap_bucket=gap_up_lg,25,53950.0,2158.0,1917.5,0.72,2.069,1400.81,1.0,1,0945
or_width_q=q3|gap_bucket=gap_up_lg,33,73795.0,2236.21,3567.5,0.636,1.815,1479.02,0.5,2,0945
or_width_q=q2|gap_bucket=flat,35,83922.5,2397.79,1542.5,0.629,1.953,1640.6,0.667,3,0945
gap_bucket=gap_dn_lg,86,250355.0,2911.1,2323.75,0.663,1.984,2153.92,0.667,3,0945
or_width_q=q3|gap_bucket=gap_dn_sm,28,93217.5,3329.2,4180.0,0.679,2.19,2572.01,1.0,1,0945
or_width_q=q4|gap_bucket=gap_dn_lg,29,220682.5,7609.74,8335.0,0.724,4.055,6852.55,1.0,2,0945
