condition,n_sessions,total_net,mean_net,median_net,win_rate,profit_factor,edge_vs_all,stability_frac,stability_years,knowable
or_width_q=q4|gap_bucket=gap_up_lg,24,-5382.5,-224.27,122.5,0.583,0.673,-286.02,1.0,1,0945
or_width_q=q4|gap_bucket=gap_dn_sm,41,-8028.0,-195.8,48.5,0.537,0.731,-257.56,1.0,2,0945
or_width_q=q1|gap_bucket=flat,42,-6740.5,-160.49,-308.75,0.405,0.57,-222.24,1.0,2,0945
or_width_q=q2|gap_bucket=gap_dn_sm,33,-5013.0,-151.91,-220.0,0.485,0.604,-213.66,1.0,2,0945
or_width_q=q4|gap_bucket=flat,27,-1473.0,-54.56,163.0,0.556,0.911,-116.31,1.0,1,0945
gap_bucket=gap_dn_sm,143,-6170.5,-43.15,85.0,0.545,0.905,-104.9,0.667,3,0945
or_width_q=q3|gap_bucket=flat,24,-843.0,-35.12,-247.5,0.5,0.928,-96.88,,0,0945
or_width_q=q1|gap_bucket=gap_dn_sm,34,-1070.5,-31.49,-24.0,0.5,0.907,-93.24,0.5,2,0945
gap_bucket=flat,138,-3535.5,-25.62,11.5,0.507,0.938,-87.37,1.0,3,0945
break_tod_bucket=1030_1200,12,-182.0,-15.17,247.5,0.667,0.958,-76.92,,0,entry
or_width_q=q4|gap_bucket=gap_up_sm,56,-372.0,-6.64,247.5,0.571,0.987,-68.4,0.5,2,0945
or_loc_bucket=mid_third,151,-22.5,-0.15,90.5,0.543,1.0,-61.9,0.667,3,0945
or_width_q=q4,175,356.0,2.03,172.0,0.571,1.003,-59.72,0.5,4,0945
or_width_q=q1,180,1686.0,9.37,30.75,0.511,1.032,-52.39,1.0,3,0945
or_width_q=q1|gap_bucket=gap_dn_lg,23,403.5,17.54,78.5,0.609,1.083,-44.21,0.0,1,0945
first_break_side=down,314,12145.5,38.68,109.0,0.564,1.101,-23.07,0.5,4,entry
or_loc_bucket=upper_third,176,8305.5,47.19,45.75,0.517,1.116,-14.56,0.667,3,0945
or_loc_bucket=lower_third,106,5951.5,56.15,106.75,0.575,1.141,-5.61,0.333,3,0945
or_loc_bucket=below_prior,94,5615.5,59.74,128.0,0.617,1.136,-2.01,0.667,3,0945
break_tod_bucket=0945_1030,665,41893.0,63.0,111.0,0.571,1.164,1.24,0.75,4,entry
first_break_side=up,365,29785.5,81.6,120.0,0.581,1.214,19.85,0.75,4,entry
gap_bucket=gap_up_sm,203,17526.5,86.34,137.0,0.581,1.245,24.58,0.667,3,0945
or_width_q=q1|gap_bucket=gap_up_sm,55,4953.5,90.06,19.5,0.527,1.391,28.31,0.0,2,0945
or_width_q=q3|gap_bucket=gap_up_sm,46,4949.5,107.6,135.25,0.543,1.289,45.84,0.5,2,0945
break_tod_bucket=1200_eod,2,220.0,110.0,110.0,0.5,2.257,48.25,,0,entry
gap_bucket=gap_up_lg,110,12105.5,110.05,175.25,0.618,1.31,48.3,0.667,3,0945
or_width_q=q2|gap_bucket=gap_dn_lg,11,1243.0,113.0,101.0,0.727,1.538,51.25,,0,0945
or_width_q=q3|gap_bucket=gap_dn_lg,15,1826.0,121.73,236.0,0.6,1.279,59.98,,0,0945
or_width_q=q2,134,16942.0,126.43,111.5,0.634,1.474,64.68,0.667,3,0945
or_width_q=q2|gap_bucket=gap_up_lg,21,2924.0,139.24,111.0,0.667,1.565,77.48,1.0,1,0945
or_loc_bucket=above_prior,151,23032.5,152.53,211.5,0.642,1.467,90.78,1.0,3,0945
or_width_q=q3,140,21871.0,156.22,140.5,0.593,1.428,94.47,0.667,3,0945
or_width_q=q1|gap_bucket=gap_up_lg,26,4140.0,159.23,174.25,0.577,1.562,97.48,1.0,1,0945
or_width_q=q2|gap_bucket=gap_up_sm,36,8106.0,225.17,252.0,0.722,1.944,163.41,1.0,2,0945
or_width_q=q3|gap_bucket=gap_up_lg,28,7375.0,263.39,273.75,0.643,1.863,201.64,1.0,1,0945
gap_bucket=gap_dn_lg,84,22956.5,273.29,202.25,0.655,1.888,211.54,0.667,3,0945
or_width_q=q2|gap_bucket=flat,33,9682.0,293.39,147.5,0.636,2.383,231.64,1.0,2,0945
or_width_q=q3|gap_bucket=gap_dn_sm,27,8563.5,317.17,142.0,0.704,2.206,255.41,1.0,2,0945
or_width_q=q4|gap_bucket=gap_dn_lg,27,15611.5,578.2,572.5,0.63,2.494,516.45,1.0,1,0945
