scenario,bucket,units,net_usd,avg_unit
A_base_all_1_1_3,tp1,651,97076.00,149.12
A_base_all_1_1_3,tp2,647,98854.00,152.79
A_base_all_1_1_3,runner,1923,304119.00,158.15
A_base_all_1_1_3,full_exit,3665,-425762.50,-116.17
B_hard_filter_not_aligned_1_1_3,tp1,585,87732.00,149.97
B_hard_filter_not_aligned_1_1_3,tp2,581,88818.00,152.87
B_hard_filter_not_aligned_1_1_3,runner,1725,271617.00,157.46
B_hard_filter_not_aligned_1_1_3,full_exit,3335,-377500.00,-113.19
C_weight_not_aligned_2_1_3,tp1,1236,184808.00,149.52
C_weight_not_aligned_2_1_3,tp2,647,98854.00,152.79
C_weight_not_aligned_2_1_3,runner,1923,304119.00,158.15
C_weight_not_aligned_2_1_3,full_exit,4332,-501262.50,-115.71
D_weight_not_aligned_2_2_3,tp1,1236,184808.00,149.52
D_weight_not_aligned_2_2_3,tp2,1228,187672.00,152.83
D_weight_not_aligned_2_2_3,runner,1923,304119.00,158.15
D_weight_not_aligned_2_2_3,full_exit,4999,-576762.50,-115.38
E_weight_not_aligned_3_2_3,tp1,1821,272540.00,149.67
E_weight_not_aligned_3_2_3,tp2,1228,187672.00,152.83
E_weight_not_aligned_3_2_3,runner,1923,304119.00,158.15
E_weight_not_aligned_3_2_3,full_exit,5666,-652262.50,-115.12
F_derisk_aligned_1_1_1_not_2_1_3,tp1,1236,184808.00,149.52
F_derisk_aligned_1_1_1_not_2_1_3,tp2,647,98854.00,152.79
F_derisk_aligned_1_1_1_not_2_1_3,runner,1791,282451.00,157.71
F_derisk_aligned_1_1_1_not_2_1_3,full_exit,4200,-481957.50,-114.75
G_skip_aligned_not_2_2_3,tp1,1170,175464.00,149.97
G_skip_aligned_not_2_2_3,tp2,1162,177636.00,152.87
G_skip_aligned_not_2_2_3,runner,1725,271617.00,157.46
G_skip_aligned_not_2_2_3,full_exit,4669,-528500.00,-113.19
